reference,settled_at_utc,amount,status
TXNA0DFE6102150,2026-07-15 06:16:52,"8,39,225.32",SETTLED
TXNA0DFE6103052,2026-07-15 12:58:41,"5,29,234.86",SETTLED
TXNA0DFE6101977,2026-07-15 11:40:48,"7,59,915.13/-",SETTLED
TXNA0DFE6100297,2026-07-15 02:39:15,"Rs. 3,01,083.61",SETTLED
TXNA0DFE6101843,2026-07-15 09:24:24,"2,73,365.85",SETTLED
TXNA0DFE6100069,2026-07-15 04:26:49,"4,79,172.17",SETTLED
TXNA0DFE6102008,2026-07-15 13:18:46,"7,63,831.83/-",SETTLED
TXNA0DFE6101640,2026-07-15 14:20:13,"Rs. 2,15,260.92",SETTLED
TXNA0DFE6103046,2026-07-15 14:42:38,"8,28,838.59",SETTLED
TXNA0DFE6100623,2026-07-15 00:48:24,"6,24,750.81",SETTLED
TXNA0DFE6102601,2026-07-15 14:36:47,"2,48,281.23/-",SETTLED
TXNA0DFE6101810,2026-07-15 05:43:16,"Rs. 4,36,210.36",SETTLED
TXNA0DFE6101078,2026-07-15 08:20:09,"7,70,387.80",SETTLED
TXNA0DFE6102760,2026-07-15 07:02:12,"5,91,484.67",SETTLED
TXNA0DFE6103286,2026-07-15 02:25:44,"52,112.46/-",SETTLED
TXNA0DFE6102596,2026-07-15 15:59:58,"Rs. 3,33,468.60",SETTLED
TXNA0DFE6102043,2026-07-15 07:16:30,"8,10,069.39",SETTLED
TXNA0DFE6100114,2026-07-15 05:48:58,"1,18,139.42",SETTLED
TXNA0DFE6102891,2026-07-15 03:18:23,"3,47,892.74/-",SETTLED
TXNA0DFE6102983,2026-07-15 07:57:03,"Rs. 7,94,541.27",SETTLED
TXNA0DFE6102612,2026-07-15 12:53:11,"4,61,781.58",SETTLED
TXNA0DFE6101855,2026-07-15 13:53:18,"4,40,087.60",SETTLED
TXNA0DFE6101770,2026-07-15 01:09:11,"2,26,915.36/-",SETTLED
TXNA0DFE6500008,2026-07-15 13:31:23,"Rs. 2,98,194.59",
TXNA0DFE6102825,2026-07-15 06:47:47,"3,45,611.48",SETTLED
TXNA0DFE6103200,2026-07-15 09:11:36,"6,64,155.45",SETTLED
TXNA0DFE6102276,2026-07-15 14:07:05,"5,72,564.82/-",SETTLED
TXNA0DFE6102603,2026-07-15 05:15:48,"Rs. 3,15,082.44",SETTLED
TXNA0DFE6101980,2026-07-15 05:47:33,"8,47,843.09",SETTLED
TXNA0DFE6101888,2026-07-15 14:16:05,"5,16,211.45",SETTLED
TXNA0DFE6103527,2026-07-15 09:43:19,"4,57,993.86/-",SETTLED
TXNA0DFE6102988,2026-07-15 04:22:19,"Rs. 2,83,921.83",SETTLED
TXNA0DFE6100929,2026-07-15 06:46:57,"5,76,437.93",SETTLED
TXNA0DFE6102660,2026-07-15 00:58:07,"1,42,359.13",SETTLED
TXNA0DFE6100824,2026-07-15 09:12:40,"3,23,669.88/-",SETTLED
TXNA0DFE6100749,2026-07-15 12:52:01,"Rs. 8,51,795.47",SETTLED
TXNA0DFE6101008,2026-07-15 10:52:32,"3,36,456.28",SETTLED
TXNA0DFE6100023,2026-07-15 12:35:43,"4,57,879.94",SETTLED
TXNA0DFE6100428,2026-07-15 05:35:42,"8,05,458.54/-",SETTLED
TXNA0DFE6101374,2026-07-15 03:22:30,"Rs. 6,62,824.39",SETTLED
TXNA0DFE6103231,2026-07-15 08:55:58,"6,93,879.21",SETTLED
TXNA0DFE6103380,2026-07-15 05:13:29,"6,77,617.99",SETTLED
TXNA0DFE6101625,2026-07-15 03:40:26,"1,55,446.29/-",SETTLED
TXNA0DFE6101548,2026-07-15 06:24:36,"Rs. 4,30,127.83",SETTLED
TXNA0DFE6102868,2026-07-15 00:50:16,"7,97,610.72",SETTLED
TXNA0DFE6100720,2026-07-15 06:37:49,"6,25,597.35",SETTLED
TXNA0DFE6100321,2026-07-15 00:45:17,"4,96,576.17/-",SETTLED
TXNA0DFE6102986,2026-07-15 11:35:33,"Rs. 26,877.97",SETTLED
TXNA0DFE6101862,2026-07-15 04:02:41,"8,37,053.05",SETTLED
TXNA0DFE6102923,2026-07-15 00:45:41,"4,29,813.73",SETTLED
TXNA0DFE6101128,2026-07-15 04:54:35,"3,51,174.00/-",SETTLED
TXNA0DFE6100384,2026-07-15 03:57:19,"Rs. 5,05,738.59",SETTLED
TXNA0DFE6102017,2026-07-15 06:13:39,"5,09,742.63",SETTLED
TXNA0DFE6100020,2026-07-15 12:37:26,"8,66,948.74",SETTLED
TXNA0DFE6103171,2026-07-15 15:53:17,"7,49,523.40/-",SETTLED
TXNA0DFE6100933,2026-07-15 10:58:03,"Rs. 2,49,560.87",SETTLED
TXNA0DFE6103105,2026-07-15 13:11:08,"77,322.57",SETTLED
TXNA0DFE6101809,2026-07-15 16:03:23,"8,04,173.20",SETTLED
TXNA0DFE6100400,2026-07-15 15:25:39,"7,36,609.50/-",SETTLED
TXNA0DFE6102507,2026-07-15 02:56:49,"Rs. 4,11,266.99",SETTLED
TXNA0DFE6100279,2026-07-15 10:01:14,"1,52,567.39",SETTLED
TXNA0DFE6300001,2026-07-14 19:23:27,"3,92,113.06",SETTLED
TXNA0DFE6102329,2026-07-15 13:48:31,"2,06,409.21/-",SETTLED
TXNA0DFE6101919,2026-07-15 05:07:33,"Rs. 4,86,405.86",SETTLED
TXNA0DFE6101732,2026-07-15 13:23:01,"82,654.41",SETTLED
TXNA0DFE6100040,2026-07-15 02:43:28,"81,803.73",SETTLED
TXNA0DFE6100060,2026-07-15 12:08:35,"8,30,365.74/-",SETTLED
TXNA0DFE6103719,2026-07-15 12:46:08,"Rs. 6,28,935.58",SETTLED
TXNA0DFE6102471,2026-07-15 01:39:49,"5,77,631.52",SETTLED
TXNA0DFE6102120,2026-07-15 10:20:00,"7,88,846.69",SETTLED
TXNA0DFE6100628,2026-07-15 16:25:21,"1,38,135.87/-",SETTLED
TXNA0DFE6102780,2026-07-15 02:17:39,"Rs. 7,90,519.64",SETTLED
TXNA0DFE6300003,2026-07-14 19:31:47,"3,65,332.78",SETTLED
TXNA0DFE6350011,2026-07-15 22:13:44,"95,900.23",SETTLED
TXNA0DFE6102040,2026-07-15 05:05:16,"4,68,893.88/-",SETTLED
TXNA0DFE6100597,2026-07-15 16:21:16,"Rs. 6,82,539.19",SETTLED
TXNA0DFE6102683,2026-07-15 15:28:15,"7,70,175.69",SETTLED
TXNA0DFE6102117,2026-07-15 05:24:59,"1,48,614.20",SETTLED
TXNA0DFE6103762,2026-07-15 11:51:50,"3,56,154.24/-",SETTLED
TXNA0DFE6103723,2026-07-15 16:18:39,"Rs. 8,58,291.99",SETTLED
TXNA0DFE6101570,2026-07-15 04:56:37,"54,543.37",SETTLED
TXNA0DFE6103111,2026-07-15 13:36:32,"8,04,989.57",SETTLED
TXNA0DFE6102767,2026-07-15 12:34:55,"3,30,775.55/-",SETTLED
TXNA0DFE6102749,2026-07-15 13:26:12,"Rs. 5,81,750.25",SETTLED
TXNA0DFE6100191,2026-07-15 09:04:25,"1,46,952.54",SETTLED
TXNA0DFE6103195,2026-07-15 07:31:28,"1,81,782.45",SETTLED
TXNA0DFE6102935,2026-07-15 10:23:40,"2,89,040.50/-",SETTLED
TXNA0DFE6102296,2026-07-15 07:19:08,"Rs. 1,41,528.77",SETTLED
TXNA0DFE6101251,2026-07-15 05:41:14,"63,320.81",SETTLED
TXNA0DFE6103720,2026-07-15 08:23:21,"8,49,982.52",SETTLED
TXNA0DFE6101688,2026-07-15 03:57:55,"69,346.07/-",SETTLED
TXNA0DFE6103123,2026-07-15 00:52:46,"Rs. 6,18,235.15",SETTLED
TXNA0DFE6100015,2026-07-15 11:59:23,"3,37,258.37",SETTLED
TXNA0DFE6102322,2026-07-15 02:29:46,"5,57,281.89",SETTLED
TXNA0DFE6102291,2026-07-15 00:44:42,"43,029.46/-",SETTLED
TXNA0DFE6100505,2026-07-15 13:59:15,"Rs. 8,23,793.34",SETTLED
TXNA0DFE6102728,2026-07-15 03:35:17,"98,631.68",SETTLED
TXNA0DFE6102607,2026-07-15 10:43:26,"4,89,723.88",SETTLED
TXNA0DFE6101089,2026-07-15 11:28:43,"8,36,488.56/-",SETTLED
TXNA0DFE6102187,2026-07-15 07:28:10,"Rs. 6,77,120.83",SETTLED
TXNA0DFE6101354,2026-07-15 08:17:31,"4,23,050.47",SETTLED
TXNA0DFE6100888,2026-07-15 10:48:55,"7,25,001.81",SETTLED
TXNA0DFE6102347,2026-07-15 02:50:45,"6,66,847.67/-",SETTLED
TXNA0DFE6103185,2026-07-15 12:00:38,"Rs. 6,83,601.75",SETTLED
TXNA0DFE6102634,2026-07-15 14:31:55,"2,79,200.45",SETTLED
TXNA0DFE6103331,2026-07-15 04:08:53,"4,24,368.15",SETTLED
TXNA0DFE6101459,2026-07-15 10:03:31,"6,82,762.46/-",SETTLED
TXNA0DFE6102410,2026-07-15 05:16:05,"Rs. 2,03,257.46",SETTLED
TXNA0DFE6100561,2026-07-15 08:02:05,"65,297.17",SETTLED
TXNA0DFE6102642,2026-07-15 10:44:04,"1,64,825.75",SETTLED
TXNA0DFE6100822,2026-07-15 03:33:18,"4,22,700.44/-",SETTLED
TXNA0DFE6101155,2026-07-15 10:49:50,"Rs. 87,131.95",SETTLED
TXNA0DFE6103644,2026-07-15 05:11:23,"1,88,580.33",SETTLED
TXNA0DFE6100588,2026-07-15 03:31:50,"6,28,688.73",SETTLED
TXNA0DFE6101481,2026-07-15 08:31:41,"4,22,627.10/-",SETTLED
TXNA0DFE6101774,2026-07-15 13:23:11,"Rs. 4,60,477.04",SETTLED
TXNA0DFE6102904,2026-07-15 12:43:22,"4,78,099.38",SETTLED
TXNA0DFE6100584,2026-07-15 06:46:15,"1,95,018.01",SETTLED
TXNA0DFE6101778,2026-07-15 14:21:02,"2,38,715.27/-",SETTLED
TXNA0DFE6101784,2026-07-15 02:07:13,"Rs. 3,63,633.61",SETTLED
TXNA0DFE6103630,2026-07-15 03:11:12,"71,702.09",SETTLED
TXNA0DFE6103412,2026-07-15 10:23:39,"2,85,108.34",SETTLED
TXNA0DFE6102106,2026-07-15 02:11:48,"45,003.15/-",SETTLED
TXNA0DFE6103260,2026-07-15 14:00:18,"Rs. 7,30,828.19",SETTLED
TXNA0DFE6101986,2026-07-15 02:09:35,"6,47,760.96",SETTLED
TXNA0DFE6102248,2026-07-15 14:23:17,"8,33,532.68",SETTLED
TXNA0DFE6100520,2026-07-15 01:34:19,"6,49,485.37/-",SETTLED
TXNA0DFE6101310,2026-07-15 04:39:08,"Rs. 6,36,937.58",SETTLED
TXNA0DFE6101942,2026-07-15 01:54:15,"3,35,343.79",SETTLED
TXNA0DFE6103282,2026-07-15 06:11:26,"6,91,200.78",SETTLED
TXNA0DFE6101391,2026-07-15 07:21:22,"4,53,009.02/-",SETTLED
TXNA0DFE6100140,2026-07-15 12:37:25,"Rs. 5,51,871.36",SETTLED
TXNA0DFE6101712,2026-07-15 15:38:35,"6,17,211.28",SETTLED
TXNA0DFE6102936,2026-07-15 03:30:19,"4,55,250.36",SETTLED
TXNA0DFE6100251,2026-07-15 10:18:00,"7,29,568.30/-",SETTLED
TXNA0DFE6101607,2026-07-15 03:22:46,"Rs. 6,03,768.14",SETTLED
TXNA0DFE6103254,2026-07-15 15:15:58,"1,51,443.87",SETTLED
TXNA0DFE6101082,2026-07-15 13:59:53,"2,74,283.92",SETTLED
TXNA0DFE6101361,2026-07-15 03:27:58,"1,27,465.55/-",SETTLED
TXNA0DFE6102654,2026-07-15 15:57:06,"Rs. 5,70,197.80",SETTLED
TXNA0DFE6101623,2026-07-15 00:50:16,"81,010.33",SETTLED
TXNA0DFE6102472,2026-07-15 02:22:32,"7,34,822.53",SETTLED
TXNA0DFE6102116,2026-07-15 15:05:01,"4,82,950.65/-",SETTLED
TXNA0DFE6101262,2026-07-15 07:42:37,"Rs. 6,26,182.71",SETTLED
TXNA0DFE6102856,2026-07-15 04:44:28,"3,91,092.84",SETTLED
TXNA0DFE6101157,2026-07-15 08:27:10,"5,87,112.98",SETTLED
TXNA0DFE6100815,2026-07-15 09:58:35,"5,66,445.55/-",SETTLED
TXNA0DFE6102826,2026-07-15 04:21:19,"Rs. 8,89,552.99",SETTLED
TXNA0DFE6102483,2026-07-15 06:39:59,"8,89,781.74",SETTLED
TXNA0DFE6100405,2026-07-15 11:11:02,"1,24,661.79",SETTLED
TXNA0DFE6101026,2026-07-15 15:53:58,"2,93,289.43/-",SETTLED
TXNA0DFE6101943,2026-07-15 01:05:30,"Rs. 4,08,440.07",SETTLED
TXNA0DFE6101405,2026-07-15 04:29:44,"78,681.22",SETTLED
TXNA0DFE6100112,2026-07-15 06:59:38,"1,33,399.74",SETTLED
TXNA0DFE6100565,2026-07-15 11:48:09,"2,93,797.88/-",SETTLED
TXNA0DFE6103323,2026-07-15 03:32:26,"Rs. 2,09,685.63",SETTLED
TXNA0DFE6102509,2026-07-15 01:06:39,"75,817.94",SETTLED
TXNA0DFE6100153,2026-07-15 09:20:20,"2,46,584.73",SETTLED
TXNA0DFE6101090,2026-07-15 10:03:14,"49,055.92/-",SETTLED
TXNA0DFE6101493,2026-07-15 14:25:04,"Rs. 1,40,882.87",SETTLED
TXNA0DFE6103799,2026-07-15 12:08:21,"45,795.38",SETTLED
TXNA0DFE6102835,2026-07-15 03:47:57,"7,47,684.47",SETTLED
TXNA0DFE6101138,2026-07-15 15:41:41,"5,95,835.54/-",SETTLED
TXNA0DFE6100856,2026-07-15 10:03:27,"Rs. 3,21,544.88",SETTLED
TXNA0DFE6103426,2026-07-15 13:59:55,"2,42,866.46",SETTLED
TXNA0DFE6103318,2026-07-15 05:42:18,"7,05,551.67",SETTLED
TXNA0DFE6102547,2026-07-15 10:06:39,"97,106.66/-",SETTLED
TXNA0DFE6102425,2026-07-15 00:37:50,"Rs. 43,060.46",SETTLED
TXNA0DFE6102666,2026-07-15 04:09:13,"2,26,073.46",SETTLED
TXNA0DFE6100539,2026-07-15 12:03:38,"7,12,867.26",SETTLED
TXNA0DFE6103126,2026-07-15 07:37:48,"2,09,663.26/-",SETTLED
